signal_id,county_fips,county,topic,posture,stage,mechanisms,risk_score,confidence_percent,meeting_date,title,evidence_quote,source_url,engine,model,signal_kind,project_name,action_outcome,supporting_source_count
409edc52cd17f70f5847bc61,48131,Duval,solar,supportive,public_hearing,tax_incentive,1.0,94.0,2026-07-13,Duval County schedules Cazadores Solar tax-abatement hearing and consideration,"The Commissioners’ Court of Duval County, Texas (the ""County""), having created the
Cazadores Solar LLC Tax Abatement Reinvestment Zone in Duval County, Texas, will consider
entering into a tax abatement agreement, as follows:

 1. The names of the property owners for the location of the following projects
 Cazadores Solar LLC are as follows:

 Property
 ID Name of Property Owner Location

 15672 Broze, Clarence Jr. LTS 4 BLK 3 R S C F & G T

 15702 Cantu, Homero & Norma LTS N/2 OF 1,ES/4 OF 1 BLK 10 R S C F T & G T

 15705 Schindler Brothers LTS 2 BLK 10 R S C F & G T

 15699 T&K Ranches LLC LTS 1 THRU 4 BLK 9 R S C F & G T

 15707 Guerra, Diana LTS 1/2 BLK 11 R S C F & G T

 15710 The Schindler Bro LTS 4 BLK 11 R S C F & G T

 15709 The Schindler Bro LTS 3 BLK 11 R S C F & G T

 15720 Broze, Clarence Jr. & Janet LTS N/PT OF 1/2 BLK 15 R S C F & G T

 15719 Broze, Clarence Jr. & Janet LTS N/PT OF 1/2 BLK 15 R S C F & G T

 15718 Broze, Clarence Jr. & Janet S/PT OF 1/2 & N/PT OF 3/4 BLK 15 R S C F &
 G T

 15721 Broze, Clarence Jr. & Janet LTS MID/PT of 3/4 BLK 15 R S C F & G T

 15722 Broze, Clarence Jr. & Janet LTS S/PT OF 3,4 BLK 15 R S C F & G T

 2. The applicants for the tax abatement agreement is Cazadores Solar LLC.

 3. The name of the reinvestment zone has been established by Duval County as the
 Cazadores Solar LLC Tax Abatement Reinvestment Zone Number 1, and is located Duval
 County, Texas, and more particularly described above.

 1

 4. The improvements to be included in the tax abatement agreement generally consist of
 facilities to be used for the proposed generation of solar power, as well their support
 infrastructure.

 5. Proposed improvements would consist of PV solar modules, connected from strings which
 are subsequently connected in parallel and mounted on rows of horizontal, single axis
 trackers. The improvements will also feature central power inverters and transformers to
 convert DC power to AC electricity. In addition to the major equipment, there will be the
 supporting electrical collection system and supporting infrastructure facilities to be
 constructed and improved as necessary, as well as overhead transmission lines, a collection
 substation to permit the interconnection and transmission of electricity generated by the
 facility.

 6. The estimated costs of the improvements are approximately a total of $ 251
 Million for the solar power facility.

 7. Pursuant to the Texas Open Meetings Act (the “Act”), the County will consider
 approval of the tax abatement agreement in its regularly scheduled meeting on July 13,
 2026, at 9:00 a.m., at the Duval County Courthouse, in the Commissioners Courtroom. A
 public hearing to receive public comment on this tax abatement will also be noticed and will
 be held at 9:30 a.m.",https://www.co.duval.tx.us/upload/page/11362/20260713 NoticeCommCrt.pdf,chatgpt_pro_backfill,ChatGPT Pro extended review + deterministic local verification,project_facilitation,Cazadores Solar,pending,2
7f6a78dcf978475e6f7ab38c,48131,Duval,solar,supportive,study,tax_incentive,0.3,94.0,2026-07-13,Duval County creates Cielo Vista Solar reinvestment zone,"The Commissioners’ Court of Duval County, Texas (the ""County""), having created the Cielo
Vista Solar LLC Tax Abatement Reinvestment Zone , in Duval County, Texas, will consider entering
into a three distinct tax abatements agreement, as follows:",https://www.co.duval.tx.us/upload/page/11362/20260713_CommCrt_Tax Abatement Agreements.pdf,chatgpt_pro_backfill,ChatGPT Pro extended review + deterministic local verification,project_facilitation,Cielo Vista Solar LLC Tax Abatement Reinvestment Zone,adopted,1
ce5daa1f02b654a35a724011,48131,Duval,solar,supportive,mention,tax_incentive,0.0,94.0,2026-07-13,Duval County posts notice of proposed Cielo Vista Solar abatement,"2. The applicants for the tax abatement agreements are Cielo Vista Solar LLC, Cielo Vista
 Storage LLC, and Cielo Vista Power LLC.

 3. The name of the reinvestment zone has been established by Duval County as the Cielo
 Vista Solar LLC Tax Abatement Reinvestment Zone, and is located northeast of Duval County
 along Hwy 59 and south CR115. Duval County, Texas, and more particularly described above.

 4. The improvements to be included in the tax abatement agreements generally consist of
 facilities to be used for the proposed generation of solar power, battery storage and natural
 gas processing facilty as well their support infrastructure.

 5. Proposed improvements would consist of PV solar modules, connected from strings which
 are subsequently connected in parallel and mounted on rows of horizontal, single axis
 trackers. The improvements will also feature central power inverters and transformers to
 convert DC power to AC electricity. In addition to the major equipment, there will be the
 supporting electrical collection system and supporting infrastructure facilities to be
 constructed and improved as necessary, as well as overhead transmission lines, a collection
 substation to permit the interconnection and transmission of electricity generated by the
 facility. The proposed improvements for the Power facility include roads , fences, gates,
 underground electrical collection systems, and natural gas turbine generators, water and
 wastewater lines. Proposed improvements to battery storage facilty include battery energy
 storage systems, central power inverters and transformers, security fences and gates, energy
 collection sub station and related structures.

 6. The estimated costs of the improvements are approximately a total of $ 539
 Million for the natural gas power facility. For the solar power facility, the estimated costs
 are approximately $477 million and for the battery storage facility the estimated cost is
 approximatley $146.46 million .

 7. Pursuant to the Texas Open Meetings Act (the “Act”), the County will consider
 approval of the three tax abatement agreements in its regularly scheduled meeting on July
 13, 2026, at 9:00 a.m., at the Duval County Courthouse, in the Commissioners Courtroom.",https://www.co.duval.tx.us/upload/page/11362/20260713_CommCrt_Tax Abatement Agreements.pdf,chatgpt_pro_backfill,ChatGPT Pro extended review + deterministic local verification,project_facilitation,Cielo Vista Solar LLC,pending,1
3ffde1632a8deb678f5f4ce0,48117,Deaf Smith,data_center,supportive,introduction,tax_incentive,1.1,91.0,2026-06-23,Deaf Smith County considers Google data-center tax abatements,"8. Discuss and consider approval of a Tax Abatement Agreement between Deaf Smith County
 and Google LLC or its affiliates authorizing up to eight property tax abatements.

 Information relating to this Tax Abatement Agreement as required by Section 312.207(c)
 and Section 312.208( a) of the Texas Tax Code is as follows:
• Name of Property Owners: Google LLC and/or affiliates, IP Roman Land, LLC
• Name of Applicant for Abatement: Google LLC and/or affiliates, IP Roman Land, LLC
• Name of Reinvestment Zone: Deaf Smith County Reinvestment Zone #2026-02
• Location of Google Reinvestment Zone #2026-02: Deaf Smith County Appraisal District
 Property ID 7139, being BLOCK K-7 SECTION 72, 648.5 AC, A-1055,
 Abstract/Subdivision AK07 (Geographic ID: AK07-72-3); Deaf Smith County Appraisal
 District Property ID 7142, being BLOCK K-7 SECTION 73, 653.3 AC, A-98,
 Abstract/Subdivision AK07 (Geographic ID: AK07-73-l); Deaf Smith County Appraisal
 District Property ID 7158, being BLOCK K-7 SECTION 88 ALL, 654 AC, A-1164,
 Abstract/Subdivision AK07 (Geographic ID: AK07-88-1); and Deaf Smith County
 Appraisal District Property ID 7159, being BLOCK K-7 SECTION 89, 649.5 AC, A-20,
 Abstract/Subdivision AK07 (Geographic ID: AK07-89-1).
• Estimated Cost of Improvements: $1,000,000,000 per data center or phase, with up to
 eight phases contemplated.
• Description and Nature of Improvements: Expected improvements consist of: (i) one or
 more (up to eight) data centers and related improvements; (ii) other buildings and ancillary
 facilities supporting the operation of the data center or centers; (iii) such additional related
 improvements, including, but not limited to, required parking, landscaping and all other
 improvements; and (iv) computer servers and other equipment related to the operation of
 the data center or centers.",https://www.co.deaf-smith.tx.us/upload/page/8035/6.23.2026 CCM Agenda.pdf,chatgpt_pro_backfill,ChatGPT Pro extended review + deterministic local verification,project_facilitation,Google data center phases / Reinvestment Zone #2026-02,pending,2
dc62fabe614fc85d47fed911,48253,Jones,solar,neutral,study,other,2.4,97.0,2026-06-22,Tiger Solar and Funston Solar monitoring remains pending,"DISCUSS AND TAKE ACTION ON TIGER SOLAR AND FUNSTON SOLAR PROJECTS.
No action was taken by the Commissioners Court.",https://www.co.jones.tx.us/upload/page/9819/CC Minutes 05-26-2026 - Signed.pdf,chatgpt_pro_backfill,ChatGPT Pro extended review + deterministic local verification,project_monitoring,Tiger Solar and Funston Solar,pending,20
86c0545e0d1ba6fcf106ec4c,48253,Jones,solar,neutral,study,other,2.4,97.0,2026-06-22,Mesquite Solar project monitoring remains pending,"DISCUSS AND TAKE ACTION ON MESQUITE SOLAR PROJECT.
No action was taken by the Commissioners Court.",https://www.co.jones.tx.us/upload/page/9819/CC Minutes 05-26-2026 - Signed.pdf,chatgpt_pro_backfill,ChatGPT Pro extended review + deterministic local verification,project_monitoring,Mesquite Solar,pending,4
cc7f968d8c481eed169c2e6f,48155,Foard,solar,supportive,introduction,tax_incentive,1.1,91.0,2026-06-22,Foard County schedules Pease River Solar tax-abatement discussion,"J. Discussion regarding a possible Tax Abatement Agreement with Pease River Solar LLC,
pursuant Chapter 312 of the Texas Tax Code with Bryan Guymon Underwood Law Firm.",https://www.foardcounty.texas.gov/upload/page/0079/06-22-2026 agenda.pdf,chatgpt_pro_backfill,ChatGPT Pro extended review + deterministic local verification,project_facilitation,Pease River Solar,pending,1
c3f371650c88dbed7d29cecd,48253,Jones,data_center,supportive,introduction,tax_incentive;other,1.1,94.0,2026-06-22,Lancium data-center project planning remains pending,"DISCUSS AND TAKE ACTION REGARDING THE PROPOSED LANCIUM LLC DATA CENTER PROJECT,
INCLUDING PROJECT UPDATES, INFRASTRUCTURE AND TRANSPORTATION PLANNING, PROCEDURAL
REQUIREMENTS FOR TAX ABATEMENT, AND OTHER RELATED MATTERS.",https://www.co.jones.tx.us/upload/page/9819/cc agenda 062226_20260616153206.pdf,chatgpt_pro_backfill,ChatGPT Pro extended review + deterministic local verification,project_facilitation,Lancium LLC Data Center Project,pending,20
acee8c691dc4b1e4dc72b25c,48155,Foard,bess,supportive,public_hearing,tax_incentive,1.0,91.0,2026-06-22,Foard County advances BRP Seine BESS tax-abatement review,"A. Conduct Public Hearing on the Creation of a Reinvestment Zone to be known as Foard
County Reinvestment Zone-BRP Seine BESS for purposes of tax abatement to provide
economic development within the county, sited on approximately 162.831 acres of land
approximately 4 miles southwest of the city of Crowell in Foard County. This application
covers all qualified property in the reinvestment zone and project boundary within Foard
County necessary for the commercial operations of the proposed BESS project.",https://www.foardcounty.texas.gov/upload/page/0079/2026/05-11-2026 public hearing and agenda.pdf,chatgpt_pro_backfill,ChatGPT Pro extended review + deterministic local verification,project_facilitation,BRP Seine BESS,pending,2
bc55d64c10376be5bb4bb150,48253,Jones,solar,supportive,study,roads,0.4,97.0,2026-06-22,Jones City Solar road-use agreement remains pending,"9. DISCUSS AND TAKE ACTION ON JONES CITY SOLAR ROAD USE AGREEMENT.
No action was taken by the Commissioners Court.",https://www.co.jones.tx.us/upload/page/9819/CC Minutes 05-26-2026 - Signed.pdf,chatgpt_pro_backfill,ChatGPT Pro extended review + deterministic local verification,project_facilitation,Jones City Solar,pending,20
